Topic,Keywords
0,"received, product, free, best, played, give, ive, fun, good, friend"
1,"grind, grinding, fun, grindy, good, shiny, fest, love, grindfest, great"
2,"hour, played, edit, good, seems, little, kinda, time, fun, bit"
3,"uwu, antipay, lol, win"
4,"good, owo, sir, ah, thats, dog, wow, pet, hey"
5,"weapon, different, get, warframes, mission, player, space, character, mechanic, story"
6,"awesome, cool, awsome, great, amazing, wowwee, hi, yea, wow, okay"
7,"player, get, time, feel, make, know, weapon, new, youre, way"
8,"coop, character, fun, get, lot, friend, great, recommend, multiplayer, solo"
9,"space, ninja, weapon, robot, zombie, pet, dog, fun, gun, awesome"
10,"free, anthem, better, excellent, best, good, version, wayyyyy, pump, pinnacle"
11,"graphic, story, nice, beautiful, free, awesome, good, interesting, great, opportunity"
12,"currency, platinum, free, money, cosmetic, premium, ingame, thing, need, real"
13,"fp, best, game, ftp, community, content, year, ive, ton, right"
14,"free, best, game, freeplay, regret, opinion, wont, download, favorite, dollers"
15,"fun, haha, ending, leaving, lag, house, happening, bit, alright, entertained"
16,"shooter, person, third, thirdperson, rd, space, scifi, awesome, shooting, great"
17,"better, best, approves, waifu, everrrrr, oofers, everrrr, kanye, ainsley, cooking"
18,"love, life, muffin, clem, founded, pink, bud, sai, cute, beloved"
19,"farming, simulator, farm, slidey, low, upgrade, day, friend, great, lord"
20,"pretty, seems, decent, good, okay, true, kinda, catalyst, gamee, keen"
21,"review, new, people, many, devs, developer, thing, see, problem, fantastic"
22,"played, best, game, ive, gamer, fantasy, power, giveup, reccommended, woooo"
23,"devs, content, love, new, fantastic, nothing, frequent, great, meme, decent"
24,"gud, gam, wery, iz, gudye, grapics, gamestill, gamegud, frends, wid"
25,"yes, iz, great"
26,"year, digital, extreme, playing, new, player, time, mind, dont, steve"
27,"friend, time, fun, great, lot, account, spend, getting, reccomend, hour"
28,"nice, shotted, aliaens, yes, suit, good, looking, work, thats"
29,"pc, steam, step, course, fps, version, better, people, repetative, built"
30,"addictive, addicted, completley, amound, ruuuunnnn, achievments, gamelove, begginer, captivating, run"
31,False
